batting_team,bowling_team,venue,batsman,bowler,over,ball,current_score,wickets,runs_last_5_overs,wickets_last_5_overs,final_score
Royal Challengers Bangalore,Lucknow Super Giants,Arun Jaitley Stadium,Virat Kohli,Yash Thakur,9,3,80,3,53,1,193
Chennai Super Kings,Sunrisers Hyderabad,Barsapara Stadium Guwahati,Daryl Mitchell,Marco Jansen,5,5,49,2,29,0,204
Sunrisers Hyderabad,Royal Challengers Bangalore,Barsapara Stadium Guwahati,Mayank Agarwal,Alzarri Joseph,11,2,82,8,13,2,177
Royal Challengers Bangalore,Lucknow Super Giants,Wankhede Stadium,Anuj Rawat,Naveen-ul-Haq,18,5,141,6,42,0,157
Kolkata Knight Riders,Sunrisers Hyderabad,Ekana Cricket Stadium,Rinku Singh,Washington Sundar,3,4,10,0,37,1,56
Chennai Super Kings,Kolkata Knight Riders,Arun Jaitley Stadium,Moeen Ali,Varun Chakaravarthy,3,2,18,3,43,0,113
Kolkata Knight Riders,Gujarat Titans,Rajiv Gandhi Intl. Cricket Stadium,Rinku Singh,R Sai Kishore,2,5,27,0,68,1,289
Chennai Super Kings,Delhi Capitals,Ekana Cricket Stadium,Moeen Ali,Kuldeep Yadav,7,2,19,3,38,0,72
Royal Challengers Bangalore,Rajasthan Royals,Arun Jaitley Stadium,Anuj Rawat,Yuzvendra Chahal,11,3,89,2,52,1,146
Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Nehal Wadhera,Nandre Burger,9,1,86,4,23,3,185
Sunrisers Hyderabad,Punjab Kings,Eden Gardens,Travis Head,Nathan Ellis,18,3,184,7,45,3,225
Punjab Kings,Rajasthan Royals,Rajiv Gandhi Intl. Cricket Stadium,Jitesh Sharma,Kuldeep Sen,15,4,122,5,44,4,150
Mumbai Indians,Gujarat Titans,M. Chinnaswamy Stadium,Rohit Sharma,Mohit Sharma,2,1,0,1,48,0,4
Lucknow Super Giants,Chennai Super Kings,PCA Stadium Mohali,Nicholas Pooran,Mustafizur Rahman,15,1,121,5,37,1,191
Lucknow Super Giants,Kolkata Knight Riders,Barsapara Stadium Guwahati,KL Rahul,Sunil Narine,16,6,163,4,67,0,184
Rajasthan Royals,Delhi Capitals,PCA Stadium Mohali,Jos Buttler,Ishant Sharma,18,5,117,10,30,0,142
Delhi Capitals,Kolkata Knight Riders,Barsapara Stadium Guwahati,Harry Brook,Sunil Narine,14,3,138,5,44,1,163
Delhi Capitals,Lucknow Super Giants,Rajiv Gandhi Intl. Cricket Stadium,Mitchell Marsh,Yash Thakur,15,5,112,3,39,0,134
Delhi Capitals,Chennai Super Kings,MA Chidambaram Stadium,Mitchell Marsh,Matheesha Pathirana,18,4,167,5,55,1,192
Sunrisers Hyderabad,Lucknow Super Giants,Sawai Mansingh Stadium,Glenn Phillips,Yash Thakur,13,1,117,1,42,1,184
Mumbai Indians,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Ishan Kishan,Pat Cummins,10,2,74,4,54,2,169
Royal Challengers Bangalore,Lucknow Super Giants,Narendra Modi Stadium,Will Jacks,Mohsin Khan,6,5,50,2,45,3,152
Punjab Kings,Gujarat Titans,Eden Gardens,Liam Livingstone,Mohit Sharma,4,6,29,1,40,1,144
Rajasthan Royals,Gujarat Titans,HPCA Stadium Dharamsala,Rovman Powell,R Sai Kishore,10,3,68,1,44,0,154
Gujarat Titans,Chennai Super Kings,HPCA Stadium Dharamsala,Shubman Gill,Deepak Chahar,15,3,118,4,40,2,159
Kolkata Knight Riders,Delhi Capitals,Sawai Mansingh Stadium,Angkrish Raghuvanshi,Ishant Sharma,6,6,57,1,56,1,174
Sunrisers Hyderabad,Chennai Super Kings,Ekana Cricket Stadium,Abdul Samad,Mukesh Choudhary,16,3,117,6,46,1,143
Gujarat Titans,Delhi Capitals,Arun Jaitley Stadium,Abhinav Manohar,Axar Patel,15,2,101,3,29,1,143
Gujarat Titans,Mumbai Indians,PCA Stadium Mohali,Wriddhiman Saha,Luke Wood,16,1,136,1,28,4,197
Chennai Super Kings,Delhi Capitals,Barsapara Stadium Guwahati,Shivam Dube,Ishant Sharma,17,5,133,10,30,0,158
Kolkata Knight Riders,Lucknow Super Giants,Barsapara Stadium Guwahati,Shreyas Iyer,Naveen-ul-Haq,11,3,88,4,47,0,181
Punjab Kings,Delhi Capitals,Sawai Mansingh Stadium,Ashutosh Sharma,Kuldeep Yadav,19,2,193,5,39,1,224
Mumbai Indians,Kolkata Knight Riders,Barsapara Stadium Guwahati,Romario Shepherd,Sunil Narine,20,6,180,8,45,1,181
Delhi Capitals,Rajasthan Royals,PCA Stadium Mohali,Jake Fraser-McGurk,R Ashwin,6,3,50,3,35,2,189
Punjab Kings,Rajasthan Royals,HPCA Stadium Dharamsala,Ashutosh Sharma,Sandeep Sharma,13,6,108,4,36,2,141
Rajasthan Royals,Sunrisers Hyderabad,Narendra Modi Stadium,Dhruv Jurel,Umran Malik,2,1,7,2,37,0,62
Lucknow Super Giants,Kolkata Knight Riders,Eden Gardens,Deepak Hooda,Harshit Rana,9,3,50,2,45,0,106
Sunrisers Hyderabad,Punjab Kings,Barsapara Stadium Guwahati,Abdul Samad,Arshdeep Singh,3,5,24,0,34,1,172
Gujarat Titans,Delhi Capitals,PCA Stadium Mohali,Wriddhiman Saha,Anrich Nortje,14,5,127,7,36,0,202
Lucknow Super Giants,Gujarat Titans,HPCA Stadium Dharamsala,Kyle Mayers,Mohit Sharma,20,2,199,6,42,1,226
Lucknow Super Giants,Royal Challengers Bangalore,Wankhede Stadium,Krunal Pandya,Akash Deep,8,1,60,2,63,0,167
Gujarat Titans,Royal Challengers Bangalore,Barsapara Stadium Guwahati,Shubman Gill,Mohammed Siraj,1,2,0,0,66,0,1
Chennai Super Kings,Mumbai Indians,Narendra Modi Stadium,MS Dhoni,Akash Madhwal,6,5,38,0,39,1,135
Mumbai Indians,Sunrisers Hyderabad,Sawai Mansingh Stadium,Nehal Wadhera,Marco Jansen,12,6,115,4,57,2,201
Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Jos Buttler,Harshit Rana,13,5,93,3,36,1,157
Mumbai Indians,Punjab Kings,Rajiv Gandhi Intl. Cricket Stadium,Romario Shepherd,Rahul Chahar,14,6,92,1,43,0,131
Mumbai Indians,Chennai Super Kings,M. Chinnaswamy Stadium,Nehal Wadhera,Matheesha Pathirana,3,2,34,0,46,1,234
Rajasthan Royals,Delhi Capitals,Rajiv Gandhi Intl. Cricket Stadium,Dhruv Jurel,Jhye Richardson,12,4,95,4,58,0,158
Delhi Capitals,Kolkata Knight Riders,Ekana Cricket Stadium,Tristan Stubbs,Mitchell Starc,10,6,90,2,19,0,190
Mumbai Indians,Punjab Kings,PCA Stadium Mohali,Tilak Varma,Vidwath Kaverappa,9,5,88,1,40,3,180
Mumbai Indians,Royal Challengers Bangalore,Eden Gardens,Suryakumar Yadav,Yash Dayal,12,6,106,5,42,0,209
Delhi Capitals,Royal Challengers Bangalore,HPCA Stadium Dharamsala,Yash Dhull,Akash Deep,12,1,117,2,46,0,193
Chennai Super Kings,Sunrisers Hyderabad,HPCA Stadium Dharamsala,Devon Conway,Jaydev Unadkat,8,4,80,1,62,3,208
Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Phil Salt,Gerald Coetzee,5,2,40,2,36,0,174
Punjab Kings,Gujarat Titans,Rajiv Gandhi Intl. Cricket Stadium,Shashank Singh,Spencer Johnson,18,4,167,10,67,0,193
Sunrisers Hyderabad,Lucknow Super Giants,Narendra Modi Stadium,Nitish Kumar Reddy,Amit Mishra,19,1,171,10,75,0,185
Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,Abishek Porel,Jasprit Bumrah,9,2,84,2,17,1,174
Gujarat Titans,Chennai Super Kings,Arun Jaitley Stadium,David Miller,Mukesh Choudhary,16,4,156,3,54,1,188
Rajasthan Royals,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Yashasvi Jaiswal,Vyshak Vijaykumar,9,4,69,3,36,2,158
Delhi Capitals,Rajasthan Royals,Ekana Cricket Stadium,Mitchell Marsh,Sandeep Sharma,3,3,33,0,56,0,253
Chennai Super Kings,Gujarat Titans,Rajiv Gandhi Intl. Cricket Stadium,Moeen Ali,Umesh Yadav,8,5,83,1,55,0,207
Kolkata Knight Riders,Delhi Capitals,Narendra Modi Stadium,Manish Pandey,Axar Patel,10,1,106,7,38,1,230
Kolkata Knight Riders,Delhi Capitals,Arun Jaitley Stadium,Phil Salt,Anrich Nortje,18,6,158,5,35,0,190
Punjab Kings,Rajasthan Royals,Sawai Mansingh Stadium,Ashutosh Sharma,Nandre Burger,16,2,149,3,55,1,209
Delhi Capitals,Sunrisers Hyderabad,Arun Jaitley Stadium,David Warner,Washington Sundar,15,1,128,3,51,1,186
Chennai Super Kings,Kolkata Knight Riders,Rajiv Gandhi Intl. Cricket Stadium,Daryl Mitchell,Chetan Sakariya,10,2,84,1,41,1,169
Sunrisers Hyderabad,Mumbai Indians,MA Chidambaram Stadium,Heinrich Klaasen,Luke Wood,10,3,85,4,49,0,208
Kolkata Knight Riders,Royal Challengers Bangalore,Rajiv Gandhi Intl. Cricket Stadium,Manish Pandey,Karn Sharma,17,3,169,5,32,1,199
Kolkata Knight Riders,Delhi Capitals,Barsapara Stadium Guwahati,Shreyas Iyer,Anrich Nortje,1,2,0,0,33,0,5
Chennai Super Kings,Gujarat Titans,MA Chidambaram Stadium,Sameer Rizvi,Noor Ahmad,16,2,146,8,57,1,174
Lucknow Super Giants,Punjab Kings,HPCA Stadium Dharamsala,Krunal Pandya,Arshdeep Singh,10,4,86,4,54,0,160
Royal Challengers Bangalore,Rajasthan Royals,Wankhede Stadium,Dinesh Karthik,Nandre Burger,3,2,10,0,62,1,59
Sunrisers Hyderabad,Punjab Kings,Rajiv Gandhi Intl. Cricket Stadium,Aiden Markram,Harpreet Brar,18,6,169,4,42,2,176
Mumbai Indians,Kolkata Knight Riders,Ekana Cricket Stadium,Nehal Wadhera,Sunil Narine,8,4,67,2,54,3,164
Sunrisers Hyderabad,Royal Challengers Bangalore,MA Chidambaram Stadium,Abhishek Sharma,Vyshak Vijaykumar,9,3,85,5,35,1,195
Lucknow Super Giants,Gujarat Titans,Ekana Cricket Stadium,Nicholas Pooran,Rashid Khan,20,1,173,9,44,1,186
Mumbai Indians,Sunrisers Hyderabad,Barsapara Stadium Guwahati,Ishan Kishan,Bhuvneshwar Kumar,13,4,102,9,31,1,154
Chennai Super Kings,Rajasthan Royals,Narendra Modi Stadium,Devon Conway,Navdeep Saini,8,3,68,3,36,1,179
Royal Challengers Bangalore,Chennai Super Kings,Narendra Modi Stadium,Dinesh Karthik,Mustafizur Rahman,15,1,103,6,16,1,116
Chennai Super Kings,Gujarat Titans,MA Chidambaram Stadium,Devon Conway,Mohammed Shami,17,6,154,4,54,1,167
Lucknow Super Giants,Royal Challengers Bangalore,HPCA Stadium Dharamsala,Nicholas Pooran,Akash Deep,13,1,101,3,36,2,186
Chennai Super Kings,Punjab Kings,M. Chinnaswamy Stadium,MS Dhoni,Rahul Chahar,2,3,21,0,51,3,217
Royal Challengers Bangalore,Rajasthan Royals,M. Chinnaswamy Stadium,Virat Kohli,Sandeep Sharma,3,1,32,1,37,1,262
Punjab Kings,Rajasthan Royals,Arun Jaitley Stadium,Shashank Singh,Avesh Khan,2,4,4,1,60,0,41
Kolkata Knight Riders,Gujarat Titans,Arun Jaitley Stadium,Venkatesh Iyer,Mohit Sharma,1,1,8,0,35,1,171
Sunrisers Hyderabad,Gujarat Titans,Arun Jaitley Stadium,Abhishek Sharma,Rashid Khan,15,1,98,3,35,1,138
Punjab Kings,Rajasthan Royals,Sawai Mansingh Stadium,Liam Livingstone,Sandeep Sharma,6,3,37,4,26,0,153
Sunrisers Hyderabad,Chennai Super Kings,Eden Gardens,Glenn Phillips,Shardul Thakur,8,5,83,5,55,0,195
Rajasthan Royals,Sunrisers Hyderabad,MA Chidambaram Stadium,Yashasvi Jaiswal,Jaydev Unadkat,11,6,98,3,45,1,151
Punjab Kings,Royal Challengers Bangalore,Eden Gardens,Shashank Singh,Yash Dayal,10,3,60,8,32,2,110
Lucknow Super Giants,Delhi Capitals,Sawai Mansingh Stadium,KL Rahul,Jhye Richardson,18,4,174,7,36,0,218
Punjab Kings,Royal Challengers Bangalore,Sawai Mansingh Stadium,Shikhar Dhawan,Karn Sharma,19,3,182,9,61,1,183
Delhi Capitals,Gujarat Titans,MA Chidambaram Stadium,Mitchell Marsh,Mohit Sharma,4,2,22,1,53,0,124
Rajasthan Royals,Lucknow Super Giants,Barsapara Stadium Guwahati,Jos Buttler,Naveen-ul-Haq,18,5,164,8,39,0,202
Sunrisers Hyderabad,Rajasthan Royals,Barsapara Stadium Guwahati,Abhishek Sharma,Trent Boult,19,6,155,7,50,1,156
Sunrisers Hyderabad,Lucknow Super Giants,Rajiv Gandhi Intl. Cricket Stadium,Heinrich Klaasen,Mohsin Khan,12,3,98,5,56,2,189
Chennai Super Kings,Kolkata Knight Riders,MA Chidambaram Stadium,Devon Conway,Varun Chakaravarthy,11,4,94,1,26,0,178
Kolkata Knight Riders,Chennai Super Kings,Arun Jaitley Stadium,Phil Salt,Tushar Deshpande,13,1,118,6,48,2,208
Lucknow Super Giants,Delhi Capitals,Narendra Modi Stadium,Quinton de Kock,Axar Patel,15,1,128,7,69,3,193
Royal Challengers Bangalore,Rajasthan Royals,Rajiv Gandhi Intl. Cricket Stadium,Anuj Rawat,Avesh Khan,13,3,89,4,58,1,155
Lucknow Super Giants,Royal Challengers Bangalore,Arun Jaitley Stadium,Kyle Mayers,Lockie Ferguson,17,1,174,8,49,2,208
Royal Challengers Bangalore,Gujarat Titans,PCA Stadium Mohali,Cameron Green,R Sai Kishore,12,5,112,3,31,1,165
Kolkata Knight Riders,Mumbai Indians,Narendra Modi Stadium,Andre Russell,Jasprit Bumrah,5,6,54,0,33,1,171
Chennai Super Kings,Gujarat Titans,Narendra Modi Stadium,Ajinkya Rahane,Spencer Johnson,15,4,147,3,52,1,197
Sunrisers Hyderabad,Punjab Kings,Arun Jaitley Stadium,Heinrich Klaasen,Nathan Ellis,5,5,33,2,37,0,164
Mumbai Indians,Gujarat Titans,Eden Gardens,Romario Shepherd,Spencer Johnson,5,2,31,0,51,1,124
Lucknow Super Giants,Mumbai Indians,Rajiv Gandhi Intl. Cricket Stadium,Devdutt Padikkal,Luke Wood,6,1,33,3,60,0,127
Kolkata Knight Riders,Gujarat Titans,M. Chinnaswamy Stadium,Shreyas Iyer,R Sai Kishore,19,4,167,5,58,0,201
Punjab Kings,Sunrisers Hyderabad,Sawai Mansingh Stadium,Shikhar Dhawan,Washington Sundar,3,1,14,0,55,2,108
Mumbai Indians,Gujarat Titans,Ekana Cricket Stadium,Tim David,Umesh Yadav,6,3,13,0,36,1,48
Kolkata Knight Riders,Rajasthan Royals,Rajiv Gandhi Intl. Cricket Stadium,Venkatesh Iyer,Yuzvendra Chahal,5,2,36,1,41,2,154
Rajasthan Royals,Punjab Kings,Ekana Cricket Stadium,Riyan Parag,Rahul Chahar,16,4,127,10,32,0,177
Rajasthan Royals,Mumbai Indians,Ekana Cricket Stadium,Riyan Parag,Luke Wood,1,1,15,1,49,1,290
Sunrisers Hyderabad,Rajasthan Royals,PCA Stadium Mohali,Glenn Phillips,Navdeep Saini,13,3,93,3,27,2,134
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Jos Buttler,Vyshak Vijaykumar,14,1,124,5,57,2,209
Gujarat Titans,Chennai Super Kings,Wankhede Stadium,Shahrukh Khan,Matheesha Pathirana,10,5,67,0,45,1,124
Rajasthan Royals,Chennai Super Kings,Narendra Modi Stadium,Shimron Hetmyer,Mustafizur Rahman,13,6,118,3,43,1,194
Gujarat Titans,Lucknow Super Giants,MA Chidambaram Stadium,David Miller,Ravi Bishnoi,9,6,75,1,63,2,145
Gujarat Titans,Rajasthan Royals,Sawai Mansingh Stadium,Vijay Shankar,Kuldeep Sen,1,4,3,0,36,0,60
Lucknow Super Giants,Delhi Capitals,PCA Stadium Mohali,KL Rahul,Lalit Yadav,2,1,17,2,46,1,172
Lucknow Super Giants,Sunrisers Hyderabad,Ekana Cricket Stadium,Kyle Mayers,Bhuvneshwar Kumar,14,2,118,4,40,0,159
Sunrisers Hyderabad,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Glenn Phillips,Mustafizur Rahman,17,6,142,4,54,0,161
Sunrisers Hyderabad,Gujarat Titans,Barsapara Stadium Guwahati,Mayank Agarwal,Darshan Nalkande,6,3,31,2,43,0,120
Gujarat Titans,Rajasthan Royals,PCA Stadium Mohali,Wriddhiman Saha,Sandeep Sharma,19,1,129,5,23,1,130
Chennai Super Kings,Sunrisers Hyderabad,PCA Stadium Mohali,Ruturaj Gaikwad,Washington Sundar,14,2,117,5,52,0,194
Rajasthan Royals,Sunrisers Hyderabad,MA Chidambaram Stadium,Jos Buttler,Umran Malik,20,1,170,8,48,0,185
Rajasthan Royals,Gujarat Titans,MA Chidambaram Stadium,Sanju Samson,Mohammed Shami,2,3,11,3,35,1,117
Mumbai Indians,Chennai Super Kings,Barsapara Stadium Guwahati,Suryakumar Yadav,Mustafizur Rahman,14,4,101,4,17,1,192
Gujarat Titans,Sunrisers Hyderabad,Narendra Modi Stadium,Rahul Tewatia,Umran Malik,5,4,31,2,31,3,108
Sunrisers Hyderabad,Mumbai Indians,MA Chidambaram Stadium,Rahul Tripathi,Nuwan Thushara,18,1,171,9,25,1,179
Delhi Capitals,Mumbai Indians,Narendra Modi Stadium,Mitchell Marsh,Gerald Coetzee,7,3,60,2,52,2,203
Kolkata Knight Riders,Royal Challengers Bangalore,Sawai Mansingh Stadium,Venkatesh Iyer,Mohammed Siraj,8,6,66,1,74,0,148
Kolkata Knight Riders,Delhi Capitals,Barsapara Stadium Guwahati,Phil Salt,Anrich Nortje,6,3,53,2,26,0,189
Chennai Super Kings,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sameer Rizvi,T Natarajan,13,4,103,6,48,0,146
Rajasthan Royals,Royal Challengers Bangalore,Ekana Cricket Stadium,Jos Buttler,Vyshak Vijaykumar,10,4,60,3,31,0,140
Kolkata Knight Riders,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Rinku Singh,Maheesh Theekshana,7,6,70,1,62,2,196
Gujarat Titans,Delhi Capitals,MA Chidambaram Stadium,David Miller,Lalit Yadav,8,5,73,4,57,2,205
Chennai Super Kings,Punjab Kings,HPCA Stadium Dharamsala,Sameer Rizvi,Kagiso Rabada,13,4,93,2,49,0,138
Delhi Capitals,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Rishabh Pant,Ravindra Jadeja,16,3,119,7,25,1,171
Royal Challengers Bangalore,Chennai Super Kings,PCA Stadium Mohali,Glenn Maxwell,Maheesh Theekshana,4,3,13,2,45,5,77
Gujarat Titans,Lucknow Super Giants,HPCA Stadium Dharamsala,Shubman Gill,Mayank Yadav,6,3,39,2,39,0,116
Royal Challengers Bangalore,Kolkata Knight Riders,Narendra Modi Stadium,Cameron Green,Chetan Sakariya,16,5,182,5,48,2,247
Delhi Capitals,Sunrisers Hyderabad,Barsapara Stadium Guwahati,Rishabh Pant,Pat Cummins,10,2,100,4,47,1,206
Kolkata Knight Riders,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Phil Salt,Washington Sundar,13,5,117,0,50,1,218
Royal Challengers Bangalore,Delhi Capitals,PCA Stadium Mohali,Cameron Green,Ishant Sharma,15,2,113,4,25,0,155
Delhi Capitals,Chennai Super Kings,Wankhede Stadium,Mitchell Marsh,Matheesha Pathirana,3,5,22,1,49,0,147
Lucknow Super Giants,Kolkata Knight Riders,Sawai Mansingh Stadium,Nicholas Pooran,Mitchell Starc,19,4,140,10,46,0,162
Punjab Kings,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Shashank Singh,Matheesha Pathirana,7,5,57,4,57,0,156
Lucknow Super Giants,Royal Challengers Bangalore,Arun Jaitley Stadium,Kyle Mayers,Mohammed Siraj,13,2,122,4,49,1,193
Lucknow Super Giants,Chennai Super Kings,Barsapara Stadium Guwahati,Marcus Stoinis,Mukesh Choudhary,15,1,100,3,26,1,158
Gujarat Titans,Royal Challengers Bangalore,HPCA Stadium Dharamsala,David Miller,Vyshak Vijaykumar,4,3,44,0,27,1,255
Royal Challengers Bangalore,Chennai Super Kings,Narendra Modi Stadium,Dinesh Karthik,Tushar Deshpande,6,5,54,3,39,1,184
Chennai Super Kings,Sunrisers Hyderabad,HPCA Stadium Dharamsala,MS Dhoni,Bhuvneshwar Kumar,8,3,66,2,40,0,179
Punjab Kings,Gujarat Titans,Wankhede Stadium,Sam Curran,Darshan Nalkande,14,1,111,7,34,0,147
Sunrisers Hyderabad,Gujarat Titans,Sawai Mansingh Stadium,Nitish Kumar Reddy,Mohammed Shami,6,1,40,1,49,1,151
Delhi Capitals,Chennai Super Kings,Eden Gardens,David Warner,Mustafizur Rahman,8,6,67,2,40,0,164
Sunrisers Hyderabad,Mumbai Indians,Barsapara Stadium Guwahati,Abhishek Sharma,Akash Madhwal,18,6,149,10,37,0,193
Kolkata Knight Riders,Punjab Kings,HPCA Stadium Dharamsala,Manish Pandey,Harpreet Brar,12,1,106,6,38,1,192
Kolkata Knight Riders,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Angkrish Raghuvanshi,Alzarri Joseph,3,3,26,1,46,0,188
Mumbai Indians,Punjab Kings,MA Chidambaram Stadium,Rohit Sharma,Harshal Patel,2,2,12,2,53,0,127
Rajasthan Royals,Royal Challengers Bangalore,HPCA Stadium Dharamsala,Riyan Parag,Yash Dayal,7,3,64,1,30,1,196
Punjab Kings,Chennai Super Kings,HPCA Stadium Dharamsala,Sam Curran,Matheesha Pathirana,4,3,46,0,47,1,236
Rajasthan Royals,Punjab Kings,PCA Stadium Mohali,Rovman Powell,Rahul Chahar,12,6,103,4,45,1,159
Chennai Super Kings,Gujarat Titans,Ekana Cricket Stadium,Ruturaj Gaikwad,Umesh Yadav,5,1,37,1,51,0,139
Kolkata Knight Riders,Delhi Capitals,Rajiv Gandhi Intl. Cricket Stadium,Andre Russell,Anrich Nortje,9,3,78,5,44,0,167
Royal Challengers Bangalore,Sunrisers Hyderabad,Sawai Mansingh Stadium,Anuj Rawat,Marco Jansen,5,2,32,3,22,4,134
Royal Challengers Bangalore,Mumbai Indians,MA Chidambaram Stadium,Cameron Green,Akash Madhwal,19,2,144,8,23,0,169
Chennai Super Kings,Mumbai Indians,Barsapara Stadium Guwahati,Shivam Dube,Nuwan Thushara,2,4,12,0,45,1,139
Rajasthan Royals,Punjab Kings,PCA Stadium Mohali,Yashasvi Jaiswal,Rahul Chahar,11,5,84,2,40,2,137
Rajasthan Royals,Delhi Capitals,Rajiv Gandhi Intl. Cricket Stadium,Dhruv Jurel,Ishant Sharma,11,5,79,6,12,0,145
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Sameer Rizvi,Nuwan Thushara,11,6,114,1,46,0,209
Mumbai Indians,Kolkata Knight Riders,HPCA Stadium Dharamsala,Suryakumar Yadav,Vaibhav Arora,12,4,102,6,44,3,190
Gujarat Titans,Royal Challengers Bangalore,PCA Stadium Mohali,Vijay Shankar,Akash Deep,13,5,92,4,37,2,125
Punjab Kings,Lucknow Super Giants,M. Chinnaswamy Stadium,Liam Livingstone,Shamar Joseph,15,2,83,9,33,1,119
Punjab Kings,Chennai Super Kings,Ekana Cricket Stadium,Ashutosh Sharma,Maheesh Theekshana,13,6,142,4,75,1,220
Punjab Kings,Kolkata Knight Riders,M. Chinnaswamy Stadium,Shashank Singh,Vaibhav Arora,3,4,33,0,41,0,232
Kolkata Knight Riders,Delhi Capitals,MA Chidambaram Stadium,Rinku Singh,Ishant Sharma,13,2,122,4,47,1,171
Royal Challengers Bangalore,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Mahipal Lomror,Maheesh Theekshana,10,4,97,5,44,2,213
Royal Challengers Bangalore,Sunrisers Hyderabad,Wankhede Stadium,Virat Kohli,Jaydev Unadkat,20,1,161,7,49,3,172
Royal Challengers Bangalore,Kolkata Knight Riders,M. Chinnaswamy Stadium,Dinesh Karthik,Harshit Rana,19,3,122,3,29,2,123
Lucknow Super Giants,Sunrisers Hyderabad,Ekana Cricket Stadium,Nicholas Pooran,Jaydev Unadkat,9,4,54,3,54,0,133
Gujarat Titans,Kolkata Knight Riders,Ekana Cricket Stadium,Sai Sudharsan,Chetan Sakariya,2,1,5,0,49,0,49
Mumbai Indians,Gujarat Titans,Rajiv Gandhi Intl. Cricket Stadium,Tim David,R Sai Kishore,13,3,93,5,36,1,161
Mumbai Indians,Gujarat Titans,M. Chinnaswamy Stadium,Tilak Varma,R Sai Kishore,8,4,59,2,25,1,182
Chennai Super Kings,Mumbai Indians,HPCA Stadium Dharamsala,Moeen Ali,Luke Wood,4,4,32,3,45,0,157
Sunrisers Hyderabad,Kolkata Knight Riders,Ekana Cricket Stadium,Heinrich Klaasen,Mujeeb Ur Rahman,17,6,161,9,53,1,198
Mumbai Indians,Gujarat Titans,Rajiv Gandhi Intl. Cricket Stadium,Romario Shepherd,Noor Ahmad,14,6,109,8,46,0,162
Rajasthan Royals,Royal Challengers Bangalore,Wankhede Stadium,Riyan Parag,Vyshak Vijaykumar,9,3,85,1,48,0,232
Lucknow Super Giants,Delhi Capitals,Ekana Cricket Stadium,Krunal Pandya,Anrich Nortje,8,6,83,3,44,0,221
Lucknow Super Giants,Delhi Capitals,Arun Jaitley Stadium,Ayush Badoni,Lalit Yadav,16,1,154,6,27,0,177
Rajasthan Royals,Sunrisers Hyderabad,Eden Gardens,Riyan Parag,T Natarajan,2,5,24,1,30,0,246
Chennai Super Kings,Sunrisers Hyderabad,MA Chidambaram Stadium,Ruturaj Gaikwad,Umran Malik,1,6,11,1,40,3,223
Sunrisers Hyderabad,Chennai Super Kings,Barsapara Stadium Guwahati,Mayank Agarwal,Maheesh Theekshana,19,2,159,7,60,0,163
Delhi Capitals,Chennai Super Kings,M. Chinnaswamy Stadium,Harry Brook,Maheesh Theekshana,20,4,169,10,31,0,193
Delhi Capitals,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,David Warner,Pat Cummins,3,1,15,2,29,4,132
Lucknow Super Giants,Gujarat Titans,Arun Jaitley Stadium,Nicholas Pooran,Rashid Khan,17,4,165,8,59,2,207
Chennai Super Kings,Delhi Capitals,PCA Stadium Mohali,Shivam Dube,Kuldeep Yadav,19,6,163,4,57,2,182
Kolkata Knight Riders,Chennai Super Kings,Barsapara Stadium Guwahati,Manish Pandey,Ravindra Jadeja,18,1,143,6,52,1,174
Delhi Capitals,Sunrisers Hyderabad,Ekana Cricket Stadium,Tristan Stubbs,Mayank Markande,1,3,17,0,68,1,290
Delhi Capitals,Sunrisers Hyderabad,Eden Gardens,Prithvi Shaw,Bhuvneshwar Kumar,14,3,106,5,54,1,144
Punjab Kings,Delhi Capitals,Wankhede Stadium,Liam Livingstone,Ishant Sharma,17,3,121,7,37,1,130
Gujarat Titans,Chennai Super Kings,Arun Jaitley Stadium,Shubman Gill,Deepak Chahar,8,4,78,1,51,0,187
Lucknow Super Giants,Kolkata Knight Riders,Arun Jaitley Stadium,Ayush Badoni,Vaibhav Arora,10,1,72,7,51,2,155
Royal Challengers Bangalore,Punjab Kings,Narendra Modi Stadium,Glenn Maxwell,Rahul Chahar,12,6,94,2,54,0,134
Royal Challengers Bangalore,Kolkata Knight Riders,Narendra Modi Stadium,Mahipal Lomror,Harshit Rana,19,1,124,8,36,1,145
